design,cohort,pairs,tasks,paid_draws,unique_labels,deadline_events,failure_difference,failure_lo,failure_hi,failure_task_mean,gain_difference,gain_lo,gain_hi,gain_task_mean,unique_difference,unique_lo,unique_hi,unique_task_mean
early,all,480,8,32.0,7.6625,0.0,0.0020833333333333333,0.0,0.00625,0.03958333333333333,0.004148314275674971,-0.005023036793940769,0.019858725223166358,0.16032347705644748,0.17291666666666666,0.06432291666666667,0.26875000000000004,7.6625000000000005
early,initially_safe_posthoc,462,8,32.0,7.651515151515151,0.0,0.0020833333333333333,0.0,0.00625,0.0020833333333333333,-0.0023855142593606376,-0.007468828475997401,0.00025725201898631195,0.15731357218223785,0.1636904761904762,0.05357142857142857,0.26162946428571426,7.660119047619048
geometry_10,all,480,8,32.0,7.58125,2.347916666666667,0.0020833333333333333,0.0,0.00625,0.03958333333333333,0.004072797283549547,-0.0053314992319063335,0.019937367594206237,0.16024796006432207,0.09166666666666666,0.03125,0.15208333333333335,7.58125
geometry_10,initially_safe_posthoc,462,8,32.0,7.567099567099567,2.4393939393939394,0.0020833333333333333,0.0,0.00625,0.0020833333333333333,-0.0024610312514860614,-0.007931397483211257,0.000417258557669825,0.15723805519011244,0.08244047619047619,0.026190476190476188,0.13811011904761905,7.5788690476190474
geometry_100,all,480,8,32.0,7.447916666666667,2.9145833333333333,0.0,0.0,0.0,0.0375,0.0061346145212345165,-0.0008699318701985326,0.019519877861172076,0.16230977730200702,-0.04166666666666667,-0.09166666666666667,0.008333333333333331,7.447916666666666
geometry_100,initially_safe_posthoc,462,8,32.0,7.437229437229437,2.9761904761904763,0.0,0.0,0.0,0.0,-0.0003662975798372959,-0.0013048277172615053,0.0002573492048414609,0.1593327888617612,-0.046130952380952384,-0.09166666666666667,-0.0008854166666666754,7.450297619047619
kl_01,all,480,8,32.0,7.64375,1.9520833333333334,0.0020833333333333333,0.0,0.00625,0.03958333333333333,0.002867483056487242,-0.005606771317169874,0.01694340779880347,0.15904264583725974,0.15416666666666667,0.05208333333333333,0.24593749999999992,7.64375
kl_01,initially_safe_posthoc,462,8,32.0,7.632034632034632,1.9696969696969697,0.0020833333333333333,0.0,0.00625,0.0020833333333333333,-0.002879533271652917,-0.008520851488324738,6.916150218031493e-05,0.15681955316994556,0.14494047619047618,0.05119047619047619,0.2375074404761905,7.6413690476190474
kl_05,all,480,8,32.0,7.6125,2.466666666666667,0.0,0.0,0.0,0.0375,0.005201265919733807,-0.0010176969379217268,0.01695706116507711,0.1613764287005063,0.12291666666666666,0.04166666666666667,0.20421874999999995,7.6125
kl_05,initially_safe_posthoc,462,8,32.0,7.5995670995671,2.5043290043290045,0.0,0.0,0.0,0.0,-0.0005512232546853355,-0.0016554277225767778,0.00017315522935182752,0.15914786318691315,0.11369047619047619,0.03570684523809524,0.18988095238095237,7.6101190476190474
late,all,480,8,32.0,7.427083333333333,0.0,0.0,0.0,0.0,0.0375,-0.013467061331780763,-0.03972003127043534,0.00018872277325779837,0.14270810144899174,-0.0625,-0.09791666666666667,-0.02291666666666667,7.427083333333333
late,initially_safe_posthoc,462,8,32.0,7.43073593073593,0.0,0.0,0.0,0.0,0.0,-0.0004695507331894422,-0.0014337808593335964,0.00018873670005108094,0.15922953570840903,-0.055059523809523815,-0.09375,-0.015476190476190477,7.441369047619048
maxlog_05,all,480,8,32.0,7.608333333333333,2.3916666666666666,0.0020833333333333333,0.0,0.00625,0.03958333333333333,0.0027455818622104462,-0.005884423024547083,0.016957249178809634,0.15892074464298295,0.11875,0.037500000000000006,0.20208333333333334,7.6083333333333325
maxlog_05,initially_safe_posthoc,462,8,32.0,7.595238095238095,2.4264069264069263,0.0020833333333333333,0.0,0.00625,0.0020833333333333333,-0.003001434465929713,-0.008928164704101047,9.688920087124822e-05,0.1566976519756688,0.10952380952380952,0.031227678571428573,0.1899032738095238,7.605952380952381
maxlog_15,all,480,8,32.0,7.558333333333334,2.7333333333333334,0.0020833333333333333,0.0,0.00625,0.03958333333333333,0.003182905134936182,-0.0050683368345666715,0.01696401255224575,0.1593580679157087,0.06875,0.020833333333333332,0.11666666666666665,7.558333333333333
maxlog_15,initially_safe_posthoc,462,8,32.0,7.543290043290043,2.7813852813852815,0.0020833333333333333,0.0,0.00625,0.0020833333333333333,-0.0025695842097692555,-0.007731367226685067,0.00018706040644468437,0.15712950223182923,0.056845238095238095,0.015126488095238096,0.09702380952380953,7.553273809523809
uniform,all,480,8,32.0,7.489583333333333,0.0,0.0,0.0,0.0,0.0375,0.0,0.0,0.0,0.1561751627807725,0.0,0.0,0.0,7.489583333333334
uniform,initially_safe_posthoc,462,8,32.0,7.487012987012987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15969908644159847,0.0,0.0,0.0,7.496428571428572
