probability,type,visible,true_accuracy,code
0.0033221423454167583,REG,0.6875,0.671875,def solve(x): return target(x) if ((149*x+13)%257)<164 else fallback(x)
0.0032914265471071925,REG,0.71875,0.66796875,def solve(x): return target(x) if ((29*x+107)%257)<164 else fallback(x)
0.0032765092471749514,REG,0.6875,0.66796875,def solve(x): return target(x) if ((61*x+107)%257)<164 else fallback(x)
0.0032707168408859567,REG,0.5625,0.67578125,def solve(x): return target(x) if ((61*x+13)%257)<164 else fallback(x)
0.003241427322714506,REG,0.59375,0.5859375,def solve(x): return target(x) if ((149*x+13)%257)<139 else fallback(x)
0.003221115920443886,REG,0.625,0.671875,def solve(x): return target(x) if ((149*x+23)%257)<164 else fallback(x)
0.0032157350030632506,REG,0.5625,0.58203125,def solve(x): return target(x) if ((149*x+23)%257)<139 else fallback(x)
0.003213710809558188,REG,0.65625,0.578125,def solve(x): return target(x) if ((61*x+107)%257)<139 else fallback(x)
0.003209444331117394,REG,0.59375,0.58203125,def solve(x): return target(x) if ((29*x+107)%257)<139 else fallback(x)
0.003203134653771663,REG,0.71875,0.671875,def solve(x): return target(x) if ((127*x+13)%257)<164 else fallback(x)
0.0031839413707155906,REG,0.5625,0.67578125,def solve(x): return target(x) if ((61*x+23)%257)<164 else fallback(x)
0.0031803687239680186,REG,0.6875,0.67578125,def solve(x): return target(x) if ((149*x+107)%257)<164 else fallback(x)
0.003162233783512465,REG,0.4375,0.5859375,def solve(x): return target(x) if ((61*x+37)%257)<139 else fallback(x)
0.0031538626307757427,REG,0.53125,0.5859375,def solve(x): return target(x) if ((61*x+13)%257)<139 else fallback(x)
0.003149253605285346,REG,0.46875,0.58203125,def solve(x): return target(x) if ((61*x+23)%257)<139 else fallback(x)
0.0031453509036862013,REG,0.625,0.58984375,def solve(x): return target(x) if ((149*x+107)%257)<139 else fallback(x)
0.003115970275027499,REG,0.6875,0.671875,def solve(x): return target(x) if ((29*x+13)%257)<164 else fallback(x)
0.0031111295541586,REG,0.78125,0.66796875,def solve(x): return target(x) if ((127*x+23)%257)<164 else fallback(x)
0.0030990251613808723,REG,0.6875,0.67578125,def solve(x): return target(x) if ((17*x+13)%257)<164 else fallback(x)
0.003084473127704232,REG,0.6875,0.671875,def solve(x): return target(x) if ((127*x+107)%257)<164 else fallback(x)
